Question	Tags
Have you been up to anything creative?	create, creates, creating, creative, art, arts, artist, artistic, build, builds, building, builder, accomplish, accomplishment, make, makes, making, design, designs, designing
Is there anything you want to brag about?	create, creates, creating, creative, art, arts, artist, artistic, build, builds, building, builder, accomplish, accomplishment, make, makes, making, design, designs, designing, proud
Have you made anything that you are proud of recently?	create, creates, creating, creative, art, arts, artist, artistic, build, builds, building, builder, accomplish, accomplishment, make, makes, making, design, designs, designing, cook, cooking, cooks
Have you started anything new recently?	new,exciting,excite,recent,recently,hobby,hobbies,activity,activities
Have you had any good news recently?	new,exciting,excite,recent,recently,hobby,hobbies,activity,activities,happy,good
Have you had any bad news recently?	new,exciting,excite,recent,recently,hobby,hobbies,activity,activities,bad,awful,annoying
How has your relationship been with your friends?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently
What do you like to do with your friends?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently
Tell me about your pet (If you have one)	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,pet,pets,dog,dogs,cat,cats,fish,bird,birds,pet,pets,animal,animals
Have you had any good conversations recently?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,talk,talks,talking,conversation,conversations
Have you been keeping in touch with your friends?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,talk,talks,talking,conversation,conversations,connnection,connections
Have you hugged anyone recently?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,partner,boyfriend,girlfriend,love,loves,loving
Who makes you happy?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,partner,boyfriend,girlfriend,love,loves,loving,pet,pets,dog,dogs,cat,cats,fish,bird,birds,pet,pets,animal,animals
Do you miss anyone?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,partner,boyfriend,girlfriend,love,loves,loving,pet,pets,dog,dogs,cat,cats,fish,bird,birds,pet,pets,animal,animals,ex
Do you have close friendships?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,partner,boyfriend,girlfriend,love,loves,loving
Who can you rely on if you need to talk to someone?	relationship,relationships,friend,friends,friendship,friendships,good,bad,recent,recently,partner,boyfriend,girlfriend,love,loves,loving,stress,stresses,stressing,problem,problems,issue
Have you read any good books recently?	hobby,hobbies,book,books,read,reads,reading,english,school,mood,moods
What type of music have you been listening to?	hobby,hobbies,book,books,mood,moods,music,musical,sing,singing,dance,dancing
Have you done anything you regret recently?	goal,goals,regret,regrets,regretting,fail,fails,failing,failure,relationship,reject,rejection
Have you been keeping up well with work?	school,schools,homework,homeworks,stress,overwhelm,overwhelming,work,works,working,job,stress,stresses,stressful,frusterate,frusterates,frusterating,annoy,annoying,annoys,job,jobs,work,working
How has your sleep been recently?	school,schools,homework,homeworks,stress,overwhelm,overwhelming,work,works,working,job,stress,stresses,stressful,frusterate,frusterates,frusterating,annoy,annoying,annoys,job,jobs,work,working,anxiety,sleep,sleeps,sleeping,insomnia,late
How do you deal with stress?	school,schools,homework,homeworks,stress,overwhelm,overwhelming,work,works,working,job,stress,stresses,stressful,anxiety,sleep,sleeps,sleeping,insomnia,late,relief,relieves,cope,coping
Is there something you're stressed about?	school,schools,homework,homeworks,stress,overwhelm,overwhelming,work,works,working,job,stress,stresses,stressful,frusterate,frusterates,frusterating,annoy,annoying,annoys,job,jobs,work,working
Has there been anything that's frustrated you recently?	school,schools,homework,homeworks,stress,overwhelm,overwhelming,work,works,working,job,stress,stresses,stressful,frusterate,frusterates,frusterating,annoy,annoying,annoys,job,jobs,work,working
What's the last good thing that happened to you?	friend,friends,friendship,holiday,holidays,new,recent,recently,lucky,happy,good,grateful,fortunate
Is there anything that you think makes you a lucky person?	friend,friends,friendship,holiday,holidays,new,recent,recently,lucky,happy,good,grateful,fortunate
How have you been feeling recently?	mood,emotional,down,emotion
What's been getting you down recently?	depressed,sad,mood,unhappy
What's been making you happy?	good,great,amazing,happy,recent,recently,mood,emotion,emotional
Has anything crazy happened to you recently?	crazy,surprising,exciting,day
Did you go outside today?	room,inside,health,stress
Have you been taking care of yourself recently?	mood, health, stress
What gets you in a good mood?	mood,happy,sad,down, health
Tell me about how you stay in shape	workout,fitness,exercise,diet,running,cardio,weightlifting,weights,buff
Do you like math?	study, studies, studied, school, schools, college, colleges, math, major, majoring, concentration, concentrations
Who was your favorite teacher growing up?	study, studies, studied, school, schools, college, colleges, math, science, writing, major, majoring, concentration, concentrations
What is/was your favorite subject in school?	study, studies, studied, school, schools, college, colleges, math, science, writing, major, majoring, concentration, concentrations
What do you like about the topics you're studying?	study, studies, studied, school, schools, college, colleges, math, science, writing, major, majoring, concentration, concentrations
Have you made any good meals recently?	cooking,cook,food,hobby
Have you eaten any good food recently?	food,meal,meals,yummy,delicious
Is there anything you've been craving recently?	food,meal,shopping,want,desire,crave
What hobbies are you interested in?	hobby,hobbies,
What have you been watching?	movies,movie,netflix,youtube,film,video,hobby
Tell me about what you've been getting into	obsessed
What do you hope to do in the future?	job,career,future
What makes you feel most accomplished?	goals,goal,career,work,job,school,success,failure
What obstacles have you encountered recently?	goals,goal,career,work,job,school,success,failure
What's something difficult you've done recently?	challenge,challenged
What are you looking forward to?	break,hard,difficult,stressful,stress,stressed
What's a goal that you'd like to accomplish soon?	career,job,future,goal,goals,work,school
What was the best year of your life?	year,new,year's,eve
If you could be anywhere right now, where would you choose?	travel,get away,holiday,vacation,break,
What's your favorite thing about where you live?	location,home,place
What are some things you're grateful for?	grateful,happy,bliss,down
What do you like to do when it's nice out?	weather,sunny,warm
